CEPH ID	Origin
HGDP00937	Nigeria
HGDP00938	Nigeria
HGDP00939	Nigeria
HGDP00940	Nigeria
HGDP00941	Nigeria
HGDP00942	Nigeria
HGDP00943	Nigeria
HGDP00944	Nigeria
HGDP00945	Russia
HGDP00946	Russia
HGDP00947	Russia
HGDP00948	Russia
HGDP00949	Russia
HGDP00950	Russia
HGDP00951	Russia
HGDP00952	Russia
HGDP00953	Russia
HGDP00954	Russia
HGDP00955	Russia
HGDP00956	Russia
HGDP00957	Russia
HGDP00958	Russia
HGDP00959	Russia
HGDP00960	Russia
HGDP00961	Russia
HGDP00962	Russia
HGDP00963	Russia
HGDP00964	Russia
HGDP00965	Russia
HGDP00966	Russia
HGDP00967	Russia
HGDP00968	Russia
HGDP00969	Russia
HGDP00970	Colombia
HGDP00971	China
HGDP00972	China
HGDP00973	China
HGDP00974	China
HGDP00975	China
HGDP00976	China
HGDP00977	China
HGDP00978	Guinea
HGDP00979	Guinea
HGDP00980	Central African Republic
HGDP00981	Central African Republic
HGDP00982	Democratic Republic of Congo
HGDP00983	Democratic Republic of Congo
HGDP00984	Democratic Republic of Congo
HGDP00985	Central African Republic
HGDP00986	Central African Republic
HGDP00987	Namibia
HGDP00988	Namibia
HGDP00991	Namibia
HGDP00992	Namibia
HGDP00993	South Africa
HGDP00994	South Africa
HGDP00995	Brazil
HGDP00996	Brazil
HGDP00997	Brazil
HGDP00998	Brazil
HGDP00999	Brazil
HGDP01000	Brazil
HGDP01001	Brazil
HGDP01003	Brazil
HGDP01004	Brazil
HGDP01005	Brazil
HGDP01006	Brazil
HGDP01007	Brazil
HGDP01008	Brazil
HGDP01009	Brazil
HGDP01010	Brazil
HGDP01011	Brazil
HGDP01012	Brazil
HGDP01013	Brazil
HGDP01014	Brazil
HGDP01015	Brazil
HGDP01016	Brazil
HGDP01017	Brazil
HGDP01018	Brazil
HGDP01019	Brazil
HGDP01021	China
HGDP01022	China
HGDP01023	China
HGDP01024	China
HGDP01025	Japan
HGDP01027	Guinea
HGDP01028	South Africa
HGDP01029	Namibia
HGDP01030	South Africa
HGDP01031	South Africa
HGDP01032	Namibia
HGDP01033	South Africa
HGDP01034	South Africa
HGDP01035	South Africa
HGDP01036	Namibia
HGDP01037	Mexico
HGDP01038	Mexico
HGDP01039	Mexico
HGDP01040	Mexico
HGDP01041	Mexico
HGDP01042	Mexico
HGDP01043	Mexico
HGDP01044	Mexico
HGDP01045	Mexico
HGDP01046	Mexico
HGDP01047	Mexico
HGDP01048	Mexico
HGDP01049	Mexico
HGDP01050	Mexico
HGDP01051	Mexico
HGDP01052	Mexico
HGDP01053	Mexico
HGDP01054	Mexico
HGDP01055	Mexico
HGDP01056	Mexico
HGDP01057	Mexico
HGDP01058	Mexico
HGDP01059	Mexico
HGDP01060	Mexico
HGDP01061	Mexico
HGDP01062	Italy
HGDP01063	Italy
HGDP01064	Italy
HGDP01065	Italy
HGDP01066	Italy
HGDP01067	Italy
HGDP01068	Italy
HGDP01069	Italy
HGDP01070	Italy
HGDP01071	Italy
HGDP01072	Italy
HGDP01073	Italy
HGDP01074	Italy
HGDP01075	Italy
HGDP01076	Italy
HGDP01077	Italy
HGDP01078	Italy
HGDP01079	Italy
HGDP01081	Democratic Republic of Congo
HGDP01084	Central African Republic
HGDP01085	Central African Republic
HGDP01086	Central African Republic
HGDP01087	Central African Republic
HGDP01088	Central African Republic
HGDP01089	Central African Republic
HGDP01090	Central African Republic
HGDP01091	Central African Republic
HGDP01092	Central African Republic
HGDP01093	Central African Republic
HGDP01094	Central African Republic
HGDP01095	China
HGDP01096	China
HGDP01097	China
HGDP01098	China
HGDP01099	China
HGDP01100	China
HGDP01101	China
HGDP01102	China
HGDP01103	China
HGDP01104	China
HGDP01147	Italy
HGDP01149	Italy
HGDP01151	Italy
HGDP01152	Italy
HGDP01153	Italy
HGDP01154	Italy
HGDP01155	Italy
HGDP01156	Italy
HGDP01157	Italy
HGDP01161	Italy
HGDP01162	Italy
HGDP01163	Italy
HGDP01164	Italy
HGDP01166	Italy
HGDP01167	Italy
HGDP01168	Italy
HGDP01169	Italy
HGDP01171	Italy
HGDP01172	Italy
HGDP01173	Italy
HGDP01174	Italy
HGDP01177	Italy
HGDP01179	China
HGDP01180	China
HGDP01181	China
HGDP01182	China
HGDP01183	China
HGDP01184	China
HGDP01185	China
HGDP01186	China
HGDP01187	China
HGDP01188	China
HGDP01189	China
HGDP01190	China
HGDP01191	China
HGDP01192	China
HGDP01193	China
HGDP01194	China
HGDP01195	China
HGDP01196	China
HGDP01197	China
HGDP01198	China
HGDP01199	Senegal
HGDP01200	Senegal
HGDP01201	Senegal
HGDP01202	Senegal
HGDP01203	China
HGDP01204	China
HGDP01205	China
HGDP01206	China
HGDP01207	China
HGDP01208	China
HGDP01209	China
HGDP01210	China
HGDP01211	China
HGDP01212	China
HGDP01213	China
HGDP01214	China
HGDP01215	China
HGDP01216	China
HGDP01217	China
HGDP01218	China
HGDP01219	China
HGDP01220	China
HGDP01221	China
HGDP01222	China
HGDP01223	China
HGDP01224	China
HGDP01225	China
HGDP01226	China
HGDP01227	China
HGDP01228	China
HGDP01229	China
HGDP01230	China
HGDP01231	China
HGDP01232	China
HGDP01233	China
HGDP01234	China
HGDP01235	China
HGDP01236	China
HGDP01237	China
HGDP01238	China
HGDP01239	China
HGDP01240	China
HGDP01241	China
HGDP01242	China
HGDP01243	China
HGDP01244	China
HGDP01245	China
HGDP01246	China
HGDP01247	China
HGDP01248	China
HGDP01249	China
HGDP01250	China
HGDP01251	China
HGDP01253	Algeria
HGDP01254	Algeria
HGDP01255	Algeria
HGDP01256	Algeria
HGDP01257	Algeria
HGDP01258	Algeria
HGDP01259	Algeria
HGDP01260	Algeria
HGDP01261	Algeria
HGDP01262	Algeria
HGDP01263	Algeria
HGDP01264	Algeria
HGDP01265	Algeria
HGDP01266	Algeria
HGDP01267	Algeria
HGDP01268	Algeria
HGDP01269	Algeria
HGDP01270	Algeria
HGDP01271	Algeria
HGDP01272	Algeria
HGDP01273	Algeria
HGDP01274	Algeria
HGDP01275	Algeria
HGDP01276	Algeria
HGDP01277	Algeria
HGDP01278	Algeria
HGDP01279	Algeria
HGDP01280	Algeria
HGDP01281	Algeria
HGDP01282	Algeria
HGDP01283	Senegal
HGDP01284	Senegal
HGDP01285	Senegal
HGDP01286	Senegal
HGDP01287	China
HGDP01288	China
HGDP01289	China
HGDP01290	China
HGDP01291	China
HGDP01292	China
HGDP01293	China
HGDP01294	China
HGDP01295	China
HGDP01296	China
HGDP01297	China
HGDP01298	China
HGDP01299	China
HGDP01300	China
HGDP01301	China
HGDP01302	China
HGDP01303	China
HGDP01304	China
HGDP01305	China
HGDP01306	China
HGDP01307	China
HGDP01308	China
HGDP01309	China
HGDP01310	China
HGDP01311	China
HGDP01312	China
HGDP01313	China
HGDP01314	China
HGDP01315	China
HGDP01316	China
HGDP01317	China
HGDP01318	China
HGDP01319	China
HGDP01320	China
HGDP01321	China
HGDP01322	China
HGDP01323	China
HGDP01324	China
HGDP01325	China
HGDP01326	China
HGDP01327	China
HGDP01328	China
HGDP01329	China
HGDP01330	China
HGDP01331	China
HGDP01332	China
HGDP01333	China
HGDP01334	China
HGDP01335	China
HGDP01336	China
HGDP01337	China
HGDP01338	China
HGDP01339	China
HGDP01340	China
HGDP01341	China
HGDP01342	China
HGDP01343	China
HGDP01344	China
HGDP01345	China
HGDP01346	China
HGDP01347	China
HGDP01348	China
HGDP01349	China
HGDP01350	China
HGDP01351	China
HGDP01352	China
HGDP01353	China
HGDP01354	China
HGDP01355	China
HGDP01356	China
HGDP01357	France
HGDP01358	France
HGDP01359	France
HGDP01360	France
HGDP01361	France
HGDP01362	France
HGDP01363	France
HGDP01364	France
HGDP01365	France
HGDP01366	France
HGDP01367	France
HGDP01368	France
HGDP01369	France
HGDP01370	France
HGDP01371	France
HGDP01372	France
HGDP01373	France
HGDP01374	France
HGDP01375	France
HGDP01376	France
HGDP01377	France
HGDP01378	France
HGDP01379	France
HGDP01380	France
HGDP01381	Georgia
HGDP01382	Georgia
HGDP01383	Georgia
HGDP01384	Georgia
HGDP01385	Georgia
HGDP01386	Georgia
HGDP01387	Georgia
HGDP01388	Georgia
HGDP01396	Georgia
HGDP01397	Georgia
HGDP01398	Georgia
HGDP01399	Georgia
HGDP01400	Georgia
HGDP01401	Georgia
HGDP01402	Georgia
HGDP01403	Georgia
HGDP01404	Georgia
HGDP01405	Kenya
HGDP01406	Kenya
HGDP01408	Kenya
HGDP01411	Kenya
HGDP01412	Kenya
HGDP01413	Kenya
HGDP01414	Kenya
HGDP01415	Kenya
HGDP01416	Kenya
HGDP01417	Kenya
HGDP01418	Kenya
HGDP01419	Kenya
